customer_tweet,company_tweet,company
Ordered this around 2am Friday morning and it made it here already... good job @115830 https://t.co/XXMuII3QwQ,@383517 I am very happy to hear this Pablo:) I hope you enjoy your order.^GA,AmazonHelp
"@AmazonHelp what does ""ships in 1-3 weeks"" actually mean? Do you have the item I want in stock or not? Items like this have given me issues","@274096 If your item will ship in 1-3 weeks, this means the item is not in stock and needs to be ordered from our distributor. More info here: https://t.co/V7JYyWd9JF ^RA",AmazonHelp
@115821 // Email from Representative not correct.  There was someone to receive package.  Whoever said different at @118706 is lying.,@528375 I'm sorry you haven't received your package. We'd like to help. Please contact us here: https://t.co/hApLpMlfHN ^AY,AmazonHelp
je l’ai déjà l’application amazon jdevrais être immunisé de vos pubs de merde @115821,"@792999 3/3  Ensuite décochez à nouveau les cases que vous aviez sélectionnées.  N'oubliez pas de ""Valider"" pour effectuer vos modifications.  
Nous espérons que ces informations vous seront utiles.",AmazonHelp
"I must say @115830, a package left under a doormat which is full of holes, in the middle of a downpour, is not the best idea #wetelectronics","@776873 I apologize for how your delivery was handled, that is not the experience we want our customers to have. Which courier was assigned delivery of that package, as shown in the order details here:  https://t.co/aaDyEz1VgE ^CH",AmazonHelp
@115821 @AmazonHelp What is the use of prime account.. If we ordered any item it is taking minimum four days time to delivery. Why we have to take prime account. Normal users also getting delivery in 4-7 days. No use of #AmazonPrime account.,@418895 I'm sorry about the delay. Kindly contact our team here: https://t.co/vlvfJr4nN9 and we'll check. ^GK,AmazonHelp
"what's the point of free 1-day @115821 delivery if they try to deliver after my building is closed, don't try to call me on the call box, send me a delivery attempted notice, and then i have to manually schedule delivery 3 days after it was supposed to be here???",@726324 This is definitely not the delivery experience we want our customers to have! Could you share with us the carrier for this package so we can look into this further? ^AZ,AmazonHelp
"@AmazonHelp Order#406-4662964-9823557 dtd 14oct. 9 days to order, , 6 days at destination but not delivered. Prime membership. ??","@339899 Please don't provide your order details, we consider it to be personal information. Our page is visible to public.(3/3)^RI",AmazonHelp
"@115821 pls stop sending packages by @115817. Consistently late, poor customer service response. Use @132668 or @916 instead","@323751 I'm sorry to hear about the trouble, Amir! Have you had the chance to report these incidents with us? ^HC",AmazonHelp
Amazonでよく買い物をするけど有料サービスは使ってないし、もしなにか未納があるなら登録してあるメールアドレスに連絡があるだろうし、詐欺だとわかったけれど、一瞬うろたえたなぁ。あのうろたえが怖いな。,@224008 おはようございます。Amazonです。ご承知のとおり、残念ながら悪質な詐欺が増加しているようですのでお気を付けください。https://t.co/st4oU5QbhP を装った詐欺と思われる連絡を受け取った際はこちらをご覧ください。→ https://t.co/4k6xt8lHss SK,AmazonHelp
A little break after shopping. #lekkeretrek #ietsmetchocolademelk Because I’m worth it 😇☕️ Now to find a nice present on @115830 because my hubby is going to order something so why not 😊 https://t.co/xfXMzvrTpz https://t.co/5Wp3iPEwwD,@621543 Wow that looks nice:) I hope you find what you are looking for!! If you would like any assistance please contact us. ^GA,AmazonHelp
"@116875 por un cobro doble de su parte, tengo retenido el crédito de una tarjeta por 45 dias segun audiomatico de @22416 ¿con quien me dirijo para aclarar ese error y me regresen el credito?","@797902 Para saber como proceder en este caso, te recomiendo verificar el siguiente enlace: https://t.co/JtMCeKmy2g. ^VM",AmazonHelp
"@AmazonHelp would you please take a minute to realise the fact the my 26,000/- INR is stuck up with you and please refund it back. https://t.co/wrWbxZvSQR",@266372 I understand you're concerned about the refund of your order. We request you to please reply to the email sent by our team with your insight and we'll get back to you with an update right away. ^MP,AmazonHelp
@115850 I have been a regular customer of Amazon and have never experienced such pathetic service from customer representatives before.,@354548 Apologies for the unpleasant experience. Could you please let us know if any of your issues went unaddressed ? ^MO,AmazonHelp
アマゾンから支払いメール来なくてソワソワしてる,@567821 お待たせしております。商品によってお支払い番号発行のタイミングは異なります。恐れ入りますが、今しばらくお待ちください。https://t.co/w7pekJAmOO なお、お支払い番号発行後は注文履歴からもご確認いただけます。RI,AmazonHelp
"@115850 confirms order, an hour later cancels order! Unilaterally! No explanation!  Order number 402-7138505-0000321
Shocking! #uncool","@387903 If an order is canceled, a correspondence is sent to the registered email id. Please check the same for more information. ^ZH",AmazonHelp
"Ordered a new charger at 2:30am and it’s came already, ty @115821",@695844 Glad we could deliver! ^TR,AmazonHelp
@AmazonHelp all day waiting on parcel due 'by 8pm' only to get a notification at 6pm - it will be here tomoro or Sat. What a waste of a time,"@408411 I'm sorry for the delay. We aim to deliver quickly. If it misses the updated date, let us know: https://t.co/oGDklGgbCZ ^SJ",AmazonHelp
"登録してないメアドにAmazonから大量にメールがきてるー。

これ、絶対開いちゃいけないヤツだよね⁈",@461730 当サイトの名をかたる架空請求詐欺が増えております。登録されていないアドレスにEメールをお送りすることはございませんので、記載されているURL等はクリックしないようお気を付けください。詳細はこちら&gt; https://t.co/r6R7EU9RIb YM,AmazonHelp
@115850 I need to cancel my order and get a refund.,@631766 Kindly get in touch with us here: https://t.co/vlvfJr4nN9 and we'll assist you. ^AU,AmazonHelp
Do @115830 realise if you pay next day delivery it's meant to come next day? Where art my fookin parcel?!,@457171 Hey James! Can you provide us with the date you were given at check out? You can find that here: https://t.co/aaDyEzjw8c ^LS,AmazonHelp
ugh @AmazonHelp is sending my prime order a week late and ruining my Halloween costume 🙄,@426047 I'm sorry for the delay on your order. What was the delivery date provided in the confirmation email? ^LR,AmazonHelp
Stop pretending that u help your customers...! Your customer service is useless @115821,@735645 Seems like you had an unpleasant experience. Could you please let us know what went wrong? We’ll fix it for you. ^SY,AmazonHelp
"Hé oui @120533, je savais que vous ne publieriez pas mon commentaire car il vous dérange, je ne dis pourtant que la vérité, et pas grave, je le publie ici ! Faites qqch au sujet de vos livreurs franchement, y’en a marre !!!!! #amazon #amazonfr #@115821 https://t.co/rEaQpPbp15","@133019 Bonjour,
Rencontrez-vous un souci avec une livraison en cours? Pouvez-vous nous expliquer davantage la situation je vous prie? 
^SA",AmazonHelp
"@115850 @AmazonHelp 

Hi, I am unable to select a delivery speed. 

'Scheduled Delivery Cannot Be Selected For This Order'? https://t.co/KNCgL43Vvb","@192171 If you have other items in the order, please place a new order for those items. 2/2^MS",AmazonHelp
"Hey @AmazonHelp woran liegt es eigentlich, dass ich nur noch Bestellungen über Kreditkarte machen kann?",@414891 Schau dir dazu bitte mal diesen Link an: https://t.co/opwgMyB1qG Liebe Grüße ^MF,AmazonHelp
"#Integrity for the win! Thanks, @115821, for providing great products &amp; quality customer service! https://t.co/mO5sqvJ9rC","@445661 Thanks for the kind words, Joe! We love hearing this from you! They will email you a survey where you can share your feedback!^FR",AmazonHelp
It's Friday. Monday is not one day away. How does that work @115830 https://t.co/0CwX0BCB7J,"@147329 Hey Jen, due to Black Friday, delivery window has been extended for some deliveries: https://t.co/8wQF5yXgx6 ^MA",AmazonHelp
@116928 tengo una duda sobre un artículo que quiero adquirir. Me podéis ayudar?,"@175386 Hola Andalú, ¿cómo podemos ayudarte? ^LG",AmazonHelp
Así yo cuando @116875 me pide paciencia para mi envío. Dos semanas y no llega mi #MacBook que espere al siguiente jueves 🤬#Buenfin2017 https://t.co/YetBMF2EIJ,@221883 Hola Yanelly. Lamentamos saber del inconveniente. ¿El producto fue vendido y gestionado por Amazon o vendido por un vendedor externo?  ^JJ,AmazonHelp
"@115850 hi, I need to talk about a defective product I received but my no is blocked. So could u please give me a call ASAP??! https://t.co/VpvcPcBWpu",@215479 I understand your concern. Please report this to our support team using the email or chat option. We'll help. ^ST,AmazonHelp
Comprei um Kindle na sexta. Ele chegou hoje!! Eu estou feliz demais! Obrigada @117086 pelo melhor serviço de entrega!,"@801642 Opa! Que emoção, já sabe qual e-Book vai ler? ^MB",AmazonHelp
@115821 perhaps you should change your slogan for prime to two-business day shipping.  Since 2-day shipping won’t come in on a Saturday 🙄.,@673623 (2/2) Some packages can take additional time to process. You can learn more here: https://t.co/MdxlaCEws4 ^JM,AmazonHelp
"My Amazon package said it will be delivered by 8PM on Oct 9. It's 9:35PM on Oct 9 and no package. 

😩😩😩😩😩😩😩",@214322 I'm sorry for the wait! Are there any updates on the order detail page: https://t.co/Y5jpI9gRhE? ^EP,AmazonHelp
"My order from Amazon came in time, but the case is shattered in one of the corners. 😭😭😭","@147575 So sorry about this Rick, you can return the item here https://t.co/NcrXckfEh6 ^KM",AmazonHelp
